word,sentiment
a,Neutral
abandon,Negative
abat,Negative
abdic,Negative
abhor,Negative
abid,Positive
abil,Positive
abject,Negative
abl,Positive
abnorm,Negative
aboard,Neutral
abolish,Negative
abolit,Neutral
abomin,Negative
abort,Neutral
abound,Positive
about,Neutral
abov,Neutral
abras,Negative
abroad,Neutral
abrupt,Negative
abscond,Negative
absenc,Negative
absent,Negative
absentmind,Negative
absente,Negative
absolut,Neutral
absolv,Positive
absorb,Neutral
absorpt,Positive
abstain,Neutral
abstract,Neutral
absurd,Negative
abund,Positive
abus,Negative
abyss,Negative
abyssinia,Neutral
academ,Neutral
academi,Neutral
acced,Positive
acceler,Neutral
accentu,Positive
accept,Positive
access,Neutral
accid,Negative
accident,Neutral
acclaim,Positive
acclam,Positive
accolad,Positive
accommod,Positive
accompani,Positive
accomplish,Positive
accord,Neutral
accost,Negative
account,Neutral
accru,Positive
accumul,Neutral
accuraci,Positive
accur,Positive
accurs,Negative
accus,Negative
accustom,Neutral
ach,Negative
achiev,Positive
acknowledg,Neutral
acquaint,Positive
acquir,Neutral
acquisit,Objective
acquit,Positive
acquitt,Positive
acr,Neutral
acrimoni,Negative
across,Neutral
act,Neutral
action,Neutral
activ,Neutral
actor,Neutral
actual,Positive
acut,Neutral
adam,Positive
adapt,Neutral
add,Neutral
addict,Negative
addit,Neutral
address,Neutral
aden,Neutral
adept,Positive
adequ,Positive
adher,Neutral
adhes,Positive
adjac,Neutral
adjoin,Neutral
adjourn,Neutral
adjud,Neutral
adjunct,Positive
adjust,Neutral
administr,Neutral
admir,Positive
admiss,Neutral
admit,Positive
admitt,Positive
admonish,Negative
admonit,Negative
adolesc,Neutral
adopt,Neutral
ador,Positive
adorn,Positive
adroit,Positive
adroitli,Positive
adul,Positive
adult,Neutral
adulter,Negative
adulteri,Negative
advanc,Positive
advantag,Positive
advent,Positive
adventur,Neutral
adventuresom,Positive
adversari,Negative
advers,Negative
advic,Neutral
advis,Positive
advisor,Neutral
advisori,Neutral
advocaci,Positive
advoc,Neutral
aesthet,Neutral
affabl,Positive
affair,Neutral
affect,Neutral
affection,Positive
affili,Positive
affin,Positive
affirm,Positive
affix,Positive
afflict,Negative
affluenc,Positive
affluent,Positive
afford,Neutral
afghanistan,Neutral
afloat,Positive
afraid,Neutral
africa,Neutral
african,Neutral
after,Neutral
afternoon,Neutral
afterward,Neutral
again,Neutral
against,Negative
ag,Neutral
agenc,Neutral
agent,Neutral
aggrav,Negative
aggreg,Positive
aggress,Negative
aggressor,Negative
aggriev,Negative
aghast,Negative
agil,Positive
agit,Negative
ago,Neutral
agon,Negative
agoni,Negative
agrarian,Neutral
agre,Neutral
agreeabl,Positive
agreement,Positive
agricultur,Neutral
ahead,Neutral
aid,Positive
ail,Negative
ailment,Negative
aim,Neutral
aimless,Negative
ain't,Neutral
air,Neutral
aircraft,Neutral
airplan,Objective
airport,Objective
akin,Neutral
alabama,Neutral
alarm,Neutral
ala,Negative
alaska,Neutral
albania,Neutral
album,Neutral
alcohol,Objective
alert,Neutral
algeria,Neutral
algier,Neutral
alibi,Negative
alien,Negative
alight,Positive
align,Neutral
alik,Neutral
aliv,Positive
all,Neutral
alledg,Neutral
alleg,Negative
allegi,Positive
allevi,Positive
allianc,Positive
alli,Positive
alloc,Neutral
allot,Neutral
allow,Positive
allur,Positive
allus,Neutral
almighti,Positive
almost,Neutral
alon,Neutral
along,Neutral
alongsid,Neutral
aloof,Negative
aloud,Neutral
alreadi,Neutral
alright,Neutral
also,Neutral
alter,Neutral
alterc,Negative
altern,Neutral
although,Neutral
altogeth,Neutral
altruist,Positive
aluminium,Neutral
aluminum,Neutral
alwai,Neutral
am,Neutral
amateur,Neutral
amaz,Neutral
ambassador,Neutral
ambigu,Negative
ambit,Neutral
ambiti,Neutral
ambival,Negative
ambul,Neutral
ambush,Negative
amelior,Positive
amen,Neutral
amend,Neutral
america,Neutral
american,Neutral
amiabl,Positive
amic,Positive
amid,Neutral
amidst,Neutral
amiss,Negative
ammunit,Neutral
amnesti,Positive
among,Neutral
amount,Neutral
amour,Positive
ampl,Positive
amplifi,Positive
ampli,Positive
amput,Negative
amus,Positive
an,Neutral
analog,Neutral
analys,Neutral
analysi,Neutral
analyst,Objective
analyt,Neutral
analyz,Neutral
anarchist,Negative
anarchi,Negative
ancestor,Neutral
anchor,Neutral
ancient,Neutral
and,Neutral
anecdot,Neutral
anew,Neutral
angel,Positive
anger,Negative
angl,Neutral
angola,Neutral
angri,Negative
anguish,Negative
anim,Neutral
animos,Negative
ankl,Neutral
annal,Neutral
annihil,Negative
anniversari,Neutral
announc,Neutral
annoi,Negative
annoy,Negative
annual,Neutral
annuiti,Neutral
anoint,Positive
anomal,Negative
anomali,Negative
anonym,Neutral
anoth,Neutral
answer,Neutral
ant,Neutral
antagonis,Neutral
antagon,Negative
antagonist,Negative
antarctica,Neutral
antisoci,Negative
antitrust,Neutral
anticip,Neutral
antipathi,Negative
antiqu,Negative
anxieti,Negative
anxiou,Neutral
anxious,Negative
ani,Neutral
anybodi,Neutral
anyhow,Neutral
anymor,Neutral
anyon,Neutral
anyth,Neutral
anywai,Neutral
anywher,Neutral
apart,Neutral
apathet,Negative
apathi,Negative
apocalyps,Positive
apologet,Neutral
apolog,Neutral
appal,Negative
apparatu,Neutral
appar,Neutral
appeal,Neutral
appear,Neutral
appeas,Positive
append,Positive
appertain,Neutral
appetit,Neutral
applaud,Positive
applaus,Positive
applic,Neutral
appli,Neutral
